user_id,project_id,donation_amount,interaction_type
1,334,0.0,like
2,22,0.0,like
3,247,136.69,donate
4,81,0.0,view
5,897,0.0,like
6,544,0.0,view
7,568,138.18,donate
8,523,0.0,like
9,254,0.0,view
10,692,0.0,view
11,682,0.0,like
12,343,0.0,like
13,265,0.0,like
14,115,42.95,donate
15,192,0.0,view
16,268,227.23,donate
17,160,0.0,view
18,326,316.92,donate
19,1000,96.95,donate
20,528,0.0,like
21,798,352.61,donate
22,84,30.05,donate
23,509,0.0,like
24,801,0.0,like
25,379,0.0,view
26,683,0.0,view
27,760,0.0,like
28,62,0.0,like
29,482,0.0,like
30,102,83.67,donate
31,96,266.28,donate
32,303,355.8,donate
33,780,334.64,donate
34,539,311.1,donate
35,53,240.85,donate
36,757,111.18,donate
37,829,0.0,like
38,48,214.67,donate
39,626,0.0,like
40,61,0.0,view
41,263,0.0,view
42,515,0.0,like
43,611,0.0,view
44,737,0.0,like
45,172,0.0,view
46,783,56.6,donate
47,342,60.31,donate
48,998,310.12,donate
49,502,0.0,view
50,924,224.49,donate
51,153,0.0,like
52,31,0.0,view
53,746,124.8,donate
54,42,216.73,donate
55,113,447.28,donate
56,791,0.0,view
57,799,0.0,like
58,394,494.83,donate
59,595,0.0,like
60,51,78.21,donate
61,137,0.0,view
62,79,0.0,like
63,301,0.0,like
64,724,0.0,like
65,595,0.0,like
66,13,0.0,view
67,478,0.0,view
68,43,274.64,donate
69,807,0.0,like
70,9,0.0,like
71,616,0.0,like
72,847,0.0,view
73,578,287.2,donate
74,620,0.0,like
75,898,119.22,donate
76,86,0.0,like
77,462,0.0,view
78,770,351.53,donate
79,654,427.37,donate
80,92,314.02,donate
81,373,450.79,donate
82,375,88.94,donate
83,377,0.0,like
84,480,0.0,view
85,802,0.0,like
86,784,0.0,like
87,824,0.0,like
88,951,107.69,donate
89,706,0.0,view
90,81,0.0,view
91,941,0.0,view
92,428,0.0,view
93,99,0.0,like
94,836,0.0,view
95,145,362.14,donate
96,899,0.0,view
97,223,422.83,donate
98,57,289.51,donate
99,364,0.0,view
100,269,0.0,view
101,733,0.0,view
102,610,0.0,like
103,639,0.0,like
104,693,267.81,donate
105,635,0.0,view
106,962,435.84,donate
107,283,0.0,view
108,86,0.0,view
109,700,0.0,view
110,19,276.24,donate
111,361,0.0,view
112,227,0.0,like
113,962,0.0,like
114,138,320.44,donate
115,592,0.0,like
116,484,0.0,like
117,470,0.0,view
118,809,164.05,donate
119,693,0.0,like
120,344,0.0,view
121,123,0.0,view
122,369,295.78,donate
123,120,430.45,donate
124,663,82.85,donate
125,756,0.0,like
126,643,137.37,donate
127,897,0.0,like
128,844,205.37,donate
129,201,0.0,view
130,193,261.19,donate
131,769,14.04,donate
132,186,100.16,donate
133,856,388.76,donate
134,831,0.0,view
135,687,0.0,like
136,755,0.0,like
137,304,52.6,donate
138,540,0.0,view
139,757,42.87,donate
140,447,117.4,donate
141,318,0.0,like
142,613,0.0,like
143,873,365.05,donate
144,17,0.0,like
145,607,0.0,like
146,941,0.0,like
147,217,0.0,like
148,60,311.73,donate
149,125,0.0,view
150,765,95.58,donate
151,729,0.0,like
152,711,0.0,like
153,781,0.0,like
154,751,488.44,donate
155,340,0.0,like
156,600,0.0,like
157,115,0.0,like
158,951,0.0,like
159,113,0.0,view
160,849,116.91,donate
161,247,94.18,donate
162,328,0.0,view
163,496,191.6,donate
164,342,0.0,like
165,953,286.44,donate
166,940,0.0,like
167,447,231.51,donate
168,611,0.0,like
169,434,242.47,donate
170,913,0.0,view
171,790,247.34,donate
172,567,159.5,donate
173,103,391.09,donate
174,847,338.94,donate
175,743,117.99,donate
176,943,80.33,donate
177,676,0.0,view
178,443,355.0,donate
179,180,0.0,like
180,32,331.67,donate
181,777,0.0,view
182,558,214.1,donate
183,993,0.0,view
184,488,0.0,view
185,844,0.0,like
186,216,0.0,view
187,444,0.0,view
188,582,0.0,like
189,231,389.21,donate
190,426,0.0,view
191,204,301.34,donate
192,762,0.0,view
193,899,28.11,donate
194,231,0.0,view
195,520,0.0,view
196,534,0.0,like
197,38,0.0,view
198,203,0.0,view
199,465,389.22,donate
200,989,195.39,donate
201,33,213.34,donate
202,235,0.0,like
203,648,0.0,like
204,936,0.0,view
205,119,177.42,donate
206,693,0.0,like
207,524,261.62,donate
208,253,0.0,view
209,206,0.0,view
210,96,0.0,like
211,100,486.9,donate
212,790,139.25,donate
213,337,220.5,donate
214,649,311.56,donate
215,828,0.0,view
216,630,241.57,donate
217,485,0.0,view
218,714,155.57,donate
219,118,0.0,like
220,856,0.0,like
221,31,0.0,view
222,458,0.0,like
223,578,0.0,view
224,891,0.0,like
225,778,0.0,view
226,860,283.4,donate
227,327,0.0,like
228,944,0.0,like
229,265,323.26,donate
230,301,219.1,donate
231,969,253.05,donate
232,289,0.0,view
233,189,65.76,donate
234,40,0.0,view
235,77,0.0,view
236,138,0.0,view
237,660,116.28,donate
238,855,0.0,view
239,381,452.41,donate
240,724,0.0,view
241,856,0.0,like
242,301,0.0,view
243,681,0.0,like
244,971,219.65,donate
245,940,0.0,like
246,707,0.0,view
247,742,0.0,view
248,725,418.88,donate
249,505,191.55,donate
250,920,0.0,view
251,899,0.0,like
252,653,0.0,view
253,627,404.74,donate
254,647,0.0,view
255,489,0.0,like
256,106,0.0,view
257,513,293.75,donate
258,628,0.0,view
259,46,469.61,donate
260,992,0.0,like
261,937,0.0,view
262,960,0.0,like
263,781,0.0,view
264,312,0.0,like
265,471,0.0,view
266,365,0.0,like
267,464,0.0,view
268,188,0.0,like
269,97,0.0,view
270,965,0.0,like
271,736,0.0,view
272,111,212.21,donate
273,635,39.98,donate
274,78,63.63,donate
275,755,397.89,donate
276,861,0.0,view
277,544,0.0,like
278,148,0.0,view
279,529,468.22,donate
280,997,43.51,donate
281,131,0.0,view
282,594,0.0,view
283,737,0.0,like
284,409,81.48,donate
285,452,0.0,view
286,931,443.71,donate
287,686,0.0,like
288,826,224.44,donate
289,675,132.43,donate
290,667,441.21,donate
291,334,0.0,view
292,74,0.0,view
293,777,0.0,view
294,118,0.0,view
295,939,0.0,like
296,92,0.0,view
297,373,0.0,view
298,888,0.0,view
299,359,0.0,like
300,800,0.0,like
301,609,0.0,like
302,666,386.59,donate
303,248,55.96,donate
304,8,96.31,donate
305,601,361.59,donate
306,576,0.0,like
307,899,0.0,view
308,836,205.44,donate
309,786,16.48,donate
310,103,0.0,view
311,143,0.0,view
312,498,0.0,view
313,581,0.0,view
314,742,480.05,donate
315,614,0.0,view
316,146,0.0,view
317,634,237.91,donate
318,65,304.67,donate
319,709,272.6,donate
320,853,316.47,donate
321,397,0.0,view
322,178,0.0,view
323,884,321.09,donate
324,685,0.0,like
325,568,0.0,like
326,747,0.0,like
327,406,0.0,view
328,940,0.0,like
329,406,0.0,like
330,266,0.0,like
331,409,448.79,donate
332,428,0.0,view
333,430,0.0,like
334,793,461.46,donate
