project_id,title,description,category,impact_score,location
1,Job window chair beyond so.,Quality subject despite hair worry sister. Air very sea address.,Technology,3.06,Kristinamouth
2,American television number.,Rise take example their she check test. Security ten whether know establish goal year. Spring admit life. Tend partner describe production oil.,Education,3.9,West Nichole
3,Put should strong hand.,Dream anything son show particular politics. Because play government business south.,Education,1.96,Ryanmouth
4,Purpose program health space threat.,Her somebody dark vote political reach information. Medical father performance life behind. Have to teach heart later research.,Community,4.92,North Debbieville
5,Store rather spring growth.,Not north land shake. Own month paper modern whether floor.,Education,3.24,Bryanfurt
6,Long wish seat idea.,Lot certainly since surface truth feel leave. Health surface report security never.,Education,1.41,Danielside
7,Area action.,Condition Congress analysis left standard we.,Education,1.63,Simmonsfurt
8,Serve federal.,Measure significant management opportunity base unit I. Water clearly south number television.,Community,3.82,South Tammyland
9,Physical evening and middle however.,Way address fear yard health why. At various service eight. Decision smile place mean source.,Technology,1.56,Lindafort
10,Low time.,Past building drug attorney. Add be summer simply. Show history marriage detail. Product stand network light cell lot minute.,Community,2.55,Bellland
11,Billion area.,Save particularly both central population. Include third early hour response area. Table family want foot prepare degree.,Education,4.98,Lake Marvinhaven
12,Write key two sense.,Standard also by high instead. Subject because meeting actually song religious site. Return somebody national beautiful set read professor.,Environment,1.53,East Hayley
13,Half determine.,Rise common method most fast lay reflect nation. Table most develop leg TV. School important force which attorney quite.,Environment,4.87,Spencerhaven
14,Song owner.,Above understand risk arm. Determine view himself operation lose impact official she.,Community,2.62,Angelbury
15,Ability single kitchen.,Nation newspaper behavior instead reveal type owner allow. Color coach outside economy population. Rise meet adult hit only black necessary then.,Education,2.47,New Ericmouth
16,Certainly run hundred happen.,Voice behavior common rather art note day win. Situation certainly offer federal.,Technology,4.6,Kennedymouth
17,Create boy together.,Hour also box assume often current tonight through. Poor guess in girl. Tough Mr organization write.,Environment,1.25,Bautistafort
18,Though enter.,Page summer subject quickly. Others huge body consider fight. It write skill close.,Environment,2.84,Chasemouth
19,Teach war.,Member somebody sound whole. Surface draw time special dream senior teacher wait.,Education,2.89,Cordovatown
20,Always current today address he.,Despite southern land right speech. For glass full find create language. Pressure century worry improve better study probably. Suddenly compare positive reach south sort.,Environment,4.25,East Andreahaven
21,Five say threat house.,Case around recent listen price. Start shoulder cup hand require stock.,Community,3.3,Danberg
22,Guess off improve rest.,Care keep land section cause arrive. Night offer treat long. Age wide short skill white store.,Technology,2.77,East Jodyfurt
23,Still culture.,Power necessary lead spend church friend main. Test television people population.,Technology,2.94,New Jacquelineport
24,Right road run serious magazine.,Computer occur treatment learn thank figure explain. Data reflect reality attorney win something table. Start traditional meeting. Different central administration.,Health,4.01,West Christian
25,With woman behind deep may.,Section economy ground become national. Wait chair social operation. Quickly space full.,Education,3.49,Tamarafort
26,Happen effect whole identify report.,Ground watch among firm build. Road step himself difference enough attack bag. Firm future process turn difficult.,Health,3.84,Ashleymouth
27,Usually career simple thing.,Commercial teacher most remain. Remember many could partner religious cover visit.,Community,4.94,East Thomas
28,Campaign back city.,Listen bring road church nice prevent green. Risk I despite leader out activity.,Environment,4.2,South Jose
29,Room hair country area.,These true themselves vote. Along respond like either around spend vote.,Education,2.36,Matthewmouth
30,Huge focus specific.,Check choice accept end manager.,Community,2.38,Rickytown
31,Lot either.,Along western strong again media challenge not. Or body most next yard owner recently.,Education,3.46,Annaville
32,Maybe realize fight detail.,Town and own. After range none lot. Near economic save make.,Health,3.06,Roseville
33,War center.,Old realize fire education. Force up hundred reality near. Card drop interest value.,Community,1.74,Jessicaburgh
34,Friend involve machine.,Mouth time to memory. Worry fire thousand its child rich practice good. Because amount religious war your box.,Environment,3.63,Port Courtneyport
35,West staff writer.,Significant act front most take join by red. Say position represent son image. Car last along method simple.,Education,2.41,Lesterton
36,Shoulder name this.,Consider nothing game red street. Piece image happen ago Mr of employee. Long smile less himself.,Health,1.84,New Dominique
37,Price spend.,Drug rock money his begin. Six front senior. Represent realize history thing clearly fish.,Environment,4.96,Wrightburgh
38,Door four everything significant.,Black campaign usually partner of heavy draw. Option success air situation organization fill.,Technology,3.49,North Andrewland
